Market,LoadFactor,FlightCount,Bookings,Revenue,AvgFare,RASM,RpS,Slope,Lat1,Lon1,Lat2,Lon2,Distance,cluster_Geo,cluster_Slope,cluster_Dist
ATHTLV,0.97707231,138,25484,2393454.695,93.9198,0.075965672,91.76653228,-0.003287103,37.89583,23.72889,32.01222,34.8825,1208,4,4,3
BDSMAN,0.914665304,124,21480,1895654.975,88.252,0.038958073,80.7211282,-0.003400296,53.35333,-2.276667,40.65805,17.94667,2072,13,4,5
AGPEXT,0.89512621,173,30249,2037537.972,67.3588,0.038477776,60.29467557,-0.004359067,50.73417,-3.421667,36.6717,-4.4981,1567,5,4,7
RHORZE,0.855140855,37,5980,695.3462,0.1162,6.2e-05,0.099434606,-0.013140425,50.11666,22.01667,36.38472,28.11833,1604,14,3,7
BLQLTN,0.953086907,373,67632,3773485.326,55.7943,0.044799402,53.17689049,-0.00764863,51.8744,-0.3664,44.5306,11.2925,1187,3,5,3
BIQDUB,0.886512747,336,56751,3795591.04,66.8814,0.051025204,59.29128717,-0.004423714,53.4325,-6.252222,43.46861,-1.5225,1162,20,4,3
BVAETM,0.87523377,38,6552,384290.8114,58.6524,0.014550623,51.33459944,-0.013514478,49.4558,2.1125,29.72369,35.0114,3528,14,3,4
BJVDUB,0.954823253,210,39058,4320860.229,110.6267,0.03334249,105.6290087,-0.004402811,53.4325,-6.252222,37.14056,27.66861,3168,13,4,4
DUBPLQ,0.984593117,162,30611,2890726.872,94.4342,0.052649668,92.97931398,-0.006950235,55.91667,21.05,53.4325,-6.252222,1766,9,2,9
LTNORK,0.806765152,545,83501,2847681.655,34.1035,0.049307467,27.51356658,-0.008617465,51.8744,-0.3664,51.84083,-8.488889,558,16,5,1
SCQTFS,0.970791558,809,148435,10023718.12,67.5293,0.036259357,65.55691672,-0.008054159,42.895,-8.415,28.04278,-16.57055,1808,18,5,9
EINPSA,0.927788141,671,118871,7663560.163,64.4695,0.063496907,59.81408617,-0.00750483,51.4533,5.3889,43.6806,10.3928,942,7,5,8
BRSOTP,0.968317211,246,45447,4083943.774,89.8616,0.038536143,87.01461146,-0.009621907,51.38167,-2.708889,44.5667,26.1,2258,13,1,5
MAHSCQ,0.948979592,70,12555,862221.3423,68.6755,0.058925571,65.1716812,-0.005524131,42.895,-8.415,39.86139,4.215278,1106,1,2,3
